0,13,17,98
1,21,19,4
2,8,16,37
3,13,34,87
4,7,22,54
5,1,10,43
6,26,32,46
7,20,23,49
8,8,13,32
9,35,34,23
10,28,22,99
11,31,4,21
12,34,28,71
13,35,25,52
14,20,16,81
15,32,5,27
16,29,14,37
17,27,10,8
18,2,5,98
19,37,6,100
20,7,4,21
21,10,3,66
22,12,6,20
23,21,20,33
24,32,19,65
25,30,14,72
26,21,13,20
27,4,30,73
28,6,11,3
29,28,7,67
30,5,11,7
31,31,23,4
32,11,3,48
33,18,21,27
34,12,16,94
35,4,12,92
36,35,20,29
37,12,30,32
38,30,34,60
39,27,29,32
40,31,8,51
41,32,17,69
42,30,9,39
43,35,29,22
44,13,2,7
45,18,15,37
46,9,34,60
47,13,2,64
48,33,26,67
49,35,23,19
50,6,18,64
51,25,16,1
52,37,22,37
53,15,10,78
54,10,13,86
55,36,13,76
56,13,31,36
57,4,24,22
58,11,11,30
59,10,13,63
60,28,15,55
61,31,23,73
62,11,19,50
63,11,22,67
64,20,34,91
65,4,9,50
66,39,30,100
67,20,19,6
68,25,13,26
69,5,21,34
70,28,30,45
71,3,22,76
72,8,15,32
73,27,9,71
74,11,20,49
75,25,14,75
76,35,15,30
77,36,4,66
78,8,22,46
79,31,21,24
80,11,18,30
81,11,16,99
82,38,13,17
83,26,2,78
84,34,7,92
85,6,28,48
86,5,26,59
87,10,22,68
88,6,11,84
89,35,12,54
90,30,27,33
91,35,29,21
92,26,13,15
93,32,18,9
94,24,24,11
95,32,8,52
96,22,34,78
97,22,21,43
98,33,9,69
99,4,21,97
100,9,29,22
101,37,18,94
102,1,10,60
103,4,21,83
104,25,27,21
105,22,29,50
106,14,22,60
107,18,20,10
108,34,29,57
109,13,25,30
110,8,33,52
111,37,29,39
112,5,1,79
113,33,19,8
114,7,27,28
115,29,3,58
116,26,1,50
117,6,5,19
118,25,23,55
119,29,31,11
120,22,12,42
121,32,9,29
122,13,34,26
123,19,21,95
124,9,29,4
125,13,27,49
126,3,21,98
127,17,16,89
128,14,19,70
129,11,30,52
130,37,30,92
131,27,13,31
132,30,4,8
133,6,24,29
134,40,1,78
135,10,15,42
136,13,6,84
137,17,30,93
138,7,31,21
139,28,2,90
140,15,11,90
141,18,4,33
142,26,8,46
143,23,13,1
144,29,5,45
145,2,30,10
146,17,10,55
147,11,9,13
148,30,9,24
149,19,15,2
150,36,11,62
151,31,15,29
152,31,19,41
153,25,22,16
154,9,11,55
155,38,14,9
156,10,15,27
157,30,12,41
158,29,1,4
159,8,10,100
160,5,7,5
161,20,8,29
162,38,11,75
163,29,21,29
164,8,26,100
165,27,20,31
166,27,34,97
167,27,25,38
168,2,10,42
169,8,6,2
170,2,29,82
171,4,22,90
172,39,6,40
173,29,14,55
174,40,30,10
175,31,20,93
176,22,26,64
177,26,20,31
178,18,12,72
179,33,6,16
180,2,8,6
181,3,2,75
182,39,9,87
183,20,33,43
184,1,22,16
185,14,15,50
186,35,34,12
187,39,27,49
188,37,19,15
189,23,25,91
190,38,5,6
191,37,20,12
192,22,14,85
193,36,10,25
194,25,30,2
195,14,12,98
196,4,25,81
197,14,13,52
198,27,16,52
199,27,29,18
200,26,4,93
201,15,7,74
202,19,13,62
203,31,3,43
204,15,2,75
205,12,10,99
206,10,3,52
207,26,6,91
208,27,23,89
209,18,27,37
210,9,3,61
211,5,12,92
212,31,28,12
213,5,10,95
214,10,17,98
215,20,22,72
216,18,14,53
217,26,33,52
218,40,21,40
219,37,23,16
220,3,18,85
221,23,29,66
222,28,15,44
223,28,17,51
224,15,26,67
225,9,20,20
226,34,29,61
227,19,21,14
228,24,33,93
229,21,8,94
230,36,23,34
231,30,25,43
232,16,20,76
233,33,9,12
234,8,26,96
235,30,20,89
236,12,34,25
237,17,29,97
238,4,31,26
239,9,16,24
240,22,31,77
241,38,21,46
242,40,7,11
243,9,7,35
244,12,6,39
245,6,26,81
246,17,5,60
247,19,30,57
248,28,2,47
249,35,27,57
250,39,7,33
251,21,20,39
252,11,16,60
253,14,10,18
254,29,24,82
255,24,32,86
256,29,25,91
257,10,17,6
258,40,24,34
259,11,26,29
260,17,23,19
261,20,24,88
262,40,26,88
263,25,18,13
264,1,2,47
265,5,9,96
266,3,9,24
267,8,33,19
268,28,10,13
269,7,25,97
270,19,18,56
271,12,29,67
272,27,22,4
273,12,22,7
274,9,24,51
275,15,19,57
276,32,9,17
277,7,26,7
278,40,5,97
279,39,14,25
280,22,14,7
281,16,14,26
282,38,18,9
283,2,31,64
284,17,23,9
285,38,22,99
286,30,27,65
287,34,15,14
288,8,2,70
289,25,2,31
290,8,1,48
291,18,25,20
292,10,30,75
293,27,17,24
294,28,26,98
295,34,6,65
296,29,31,60
297,37,31,4
298,27,3,90
299,25,29,64
300,25,12,78
301,4,4,76
302,25,22,96
303,33,11,25
304,25,17,27
305,35,10,52
306,23,6,89
307,8,16,12
308,13,17,93
309,28,23,11
310,16,33,52
311,23,4,52
312,3,5,100
313,18,20,32
314,19,5,32
315,22,27,4
316,36,12,63
317,2,31,40
318,40,28,42
319,28,16,39
320,22,7,52
321,6,1,35
322,3,24,47
323,12,31,8
324,20,19,81
325,13,5,2
326,36,4,55
327,19,27,27
328,10,16,53
329,3,22,92
330,2,15,19
331,40,8,87
332,33,30,29
333,3,7,92
334,18,6,3
335,32,2,23
336,33,6,3
337,34,33,17
338,23,12,81
339,29,16,68
340,26,11,49
341,38,15,95
342,11,4,37
343,36,4,74
344,27,17,77
345,13,6,33
346,38,13,56
347,6,7,75
348,37,33,5
349,12,23,59
350,28,3,1
351,2,29,44
352,26,11,45
353,12,12,71
354,37,16,16
355,21,30,94
